1,1
3,2
4,1
38,34
59,21
140,81
150,10
178,28
216,38
229,13
274,45
298,24
363,65
397,34
421,24
508,87
516,8
557,41
603,46
681,78
706,25
779,73
788,9
829,41
836,7
922,86
936,14
960,24
994,34
1008,14
1020,12
1042,22
1141,99
1175,34
1213,38
1238,25
1282,44
1310,28
1318,8
1348,30
1375,27
1414,39
1441,27
1526,85
1529,3
1577,48
1585,8
1602,17
1619,17
1646,27
1659,13
1660,1
1724,64
1798,74
1800,2
1841,41
1853,12
1876,23
1884,8
1896,12
1907,11
1918,11
1983,65
2026,43
2039,13
2058,19
2064,6
2117,53
2170,53
2255,85
2261,6
2332,71
2364,32
2366,2
2382,16
2402,20
2478,76
2531,53
2556,25
2607,51
2671,64
2680,9
2737,57
2775,38
2869,94
2890,21
2907,17
2936,29
2948,12
2992,44
3015,23
3080,65
3111,31
3144,33
3166,22
3178,12
3243,65
3255,12
3320,65
3457,137
3494,37
3520,26
3548,28
3627,79
3628,1
3665,37
3703,38
3742,39
3780,38
3785,5
3795,10
3801,6
3812,11
3853,41
3885,32
3895,10
3917,22
3935,18
3960,25
3997,37
4032,35
4129,97
4149,20
4196,47
4276,80
4286,10
4306,20
4318,12
4412,94
4467,55
4490,23
4563,73
4572,9
4628,56
4672,44
4683,11
4700,17
4706,6
4795,89
4816,21
4886,70
4900,14
4949,49
4952,3
4959,7
4964,5
4993,29
5004,11
5104,100
5142,38
5209,67
5270,61
5384,114
5405,21
5440,35
5480,40
5496,16
5571,75
5587,16
5595,8
5663,68
5690,27
5756,66
5789,33
5837,48
5912,75
5930,18
5949,19
5962,13
5978,16
5992,14
6010,18
6046,36
6073,27
6122,49
6162,40
6191,29
6233,42
6309,76
6314,5
6373,59
6389,16
6423,34
6457,34
6510,53
6574,64
6584,10
6619,35
6699,80
6779,80
6874,95
6886,12
6909,23
6910,1
6936,26
6943,7
6953,10
6985,32
7082,97
7128,46
7181,53
7212,31
7214,2
7215,1
7221,6
7301,80
7337,36
7378,41
7427,49
7444,17
7511,67
7537,26
7558,21
7607,49
7729,122
7768,39
7774,6
7793,19
7805,12
7905,100
7944,39
8050,106
8080,30
8103,23
8137,34
8231,94
8259,28
8291,32
8297,6
8315,18
8345,30
8367,22
8402,35
8432,30
8492,60
8501,9
8568,67
8597,29
8632,35
8736,104
8740,4
8742,2
8747,5
8750,3
8752,2
8755,3
8794,39
8918,124
8938,20
9000,62
9045,45
9094,49
9149,55
9264,115
